SAMPLE_DATE,IMAGE_DATE,TIME_SAMPLE,IMAGE_HOUR,STATION_SAMPLE,PARAMETER,VALUE,UNIT,DEPTH,DEPTH_UNIT,LOCAL_NAME,LOCATION_TYPE,LAT,LON,COUNTRY,ORGANIZATION_DATA,HEMISPHERE,SEASON,SOURCE_DOMAIN,DIFF_DATE,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,MSK_CLDPRB,MSK_SNOW,QA60,CLDYPXPER,DRK_FEA_PE,NDWI,NBSI,WATER_CHECK,SNOW_CHECK,SCENE_CLASS,GEOMETRY,Classe
2021-10-29,2021-10-28,08:54:16,13:12:51,Pontos_Randomicos,Turbidity,1.2,NTU,0.083,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4551,-45.3687,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,337.0,338.0,503.0,193.0,158.0,102.0,100.0,82.0,77.0,55.0,43.0,25.0,0.0,0.0,0.0,3.3458,0.7926,0.7196581196581197,-0.6979619801192842,Water_Surface,No_Snow,Water,POINT (-45.368658 -18.455146),0
2021-10-29,2021-10-28,10:18:12,13:12:51,Pontos_Randomicos,Turbidity,1.18,NTU,0.055,m,Reservatorio de Tr̻s Marias,Reservoir,-18.459,-45.3415,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,437.0,449.0,530.0,308.0,275.0,209.0,229.0,206.0,226.0,206.0,267.0,238.0,0.0,0.0,0.0,3.3458,0.7926,0.4402173913043478,-1.2853424150943398,Water_Surface,No_Snow,Water,POINT (-45.341542 -18.458993),0
2021-10-29,2021-10-28,08:25:25,13:12:51,Pontos_Randomicos,Turbidity,3.25,NTU,0.142,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4626,-45.3713,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,473.0,524.0,683.0,399.0,369.0,264.0,260.0,272.0,248.0,207.0,244.0,215.0,0.0,0.0,0.0,3.3458,0.7926,0.4303664921465968,-1.05764721522694,Water_Surface,No_Snow,Water,POINT (-45.371288 -18.462634),0
2021-10-29,2021-10-28,08:28:58,13:12:51,Pontos_Randomicos,Turbidity,1.82,NTU,0.084,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4594,-45.3718,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,334.0,337.0,485.0,184.0,143.0,80.0,83.0,74.0,73.0,67.0,57.0,44.0,0.0,0.0,0.0,3.3458,0.7926,0.7352415026833631,-0.7645190103092784,Water_Surface,No_Snow,Water,POINT (-45.371783 -18.459352),0
2021-10-29,2021-10-28,08:32:13,13:12:51,Pontos_Randomicos,Turbidity,1.36,NTU,0.15,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4529,-45.3739,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,332.0,327.0,494.0,175.0,144.0,90.0,95.0,78.0,74.0,55.0,44.0,33.0,0.0,0.0,0.0,3.3458,0.7926,0.7272727272727272,-0.706252939271255,Water_Surface,No_Snow,Water,POINT (-45.373919 -18.452895),0
2021-10-29,2021-10-28,08:36:25,13:12:51,Pontos_Randomicos,Turbidity,1.74,NTU,0.057,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4442,-45.3737,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,306.0,312.0,431.0,152.0,123.0,71.0,73.0,69.0,56.0,57.0,79.0,65.0,0.0,0.0,0.0,3.3458,0.7926,0.7239999999999999,-0.8591379767981437,Water_Surface,No_Snow,Water,POINT (-45.373682 -18.444209),0
2021-10-29,2021-10-28,10:06:02,13:12:51,Pontos_Randomicos,Turbidity,1.18,NTU,0.106,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4603,-45.338,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,439.0,431.0,538.0,324.0,283.0,203.0,233.0,216.0,243.0,604.0,321.0,235.0,0.0,0.0,0.0,3.3458,0.7926,0.4270557029177719,-1.2312102156133828,Water_Surface,No_Snow,Water,POINT (-45.337974 -18.460256),0
2021-10-29,2021-10-28,10:00:09,13:12:51,Pontos_Randomicos,Turbidity,1.17,NTU,0.169,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4586,-45.3394,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,427.0,435.0,523.0,298.0,274.0,213.0,218.0,205.0,195.0,188.0,293.0,235.0,0.0,0.0,0.0,3.3458,0.7926,0.4368131868131867,-1.273434745697897,Water_Surface,No_Snow,Water,POINT (-45.339401 -18.45859),0
2021-10-29,2021-10-28,09:56:09,13:12:51,Pontos_Randomicos,Turbidity,1.26,NTU,0.035,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4594,-45.3496,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,392.0,405.0,507.0,256.0,211.0,158.0,170.0,159.0,167.0,150.0,147.0,129.0,0.0,0.0,0.0,3.3458,0.7926,0.5225225225225224,-1.0347624378698224,Water_Surface,No_Snow,Water,POINT (-45.34964 -18.45943),0
2021-10-29,2021-10-28,10:15:27,13:12:51,Pontos_Randomicos,Turbidity,1.14,NTU,0.135,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4608,-45.3407,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,388.0,428.0,519.0,300.0,282.0,238.0,227.0,205.0,217.0,204.0,271.0,226.0,0.0,0.0,0.0,3.3458,0.7926,0.4337016574585635,-1.250351606936416,Water_Surface,No_Snow,Water,POINT (-45.340703 -18.460757),0
2021-10-29,2021-10-28,08:50:21,13:12:51,Pontos_Randomicos,Turbidity,1.31,NTU,0.087,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4505,-45.3709,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,336.0,340.0,474.0,175.0,141.0,97.0,100.0,85.0,79.0,58.0,48.0,26.0,0.0,0.0,0.0,3.3458,0.7926,0.6958855098389982,-0.7505278987341772,Water_Surface,No_Snow,Water,POINT (-45.370864 -18.450496),0
2021-10-29,2021-10-28,10:13:07,13:12:51,Pontos_Randomicos,Turbidity,1.13,NTU,0.074,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4599,-45.3399,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,444.0,462.0,520.0,316.0,299.0,223.0,231.0,218.0,238.0,199.0,287.0,246.0,0.0,0.0,0.0,3.3458,0.7926,0.4092140921409213,-1.3522944615384616,Water_Surface,No_Snow,Water,POINT (-45.339905 -18.459927),0
2021-10-29,2021-10-28,10:10:23,13:12:51,Pontos_Randomicos,Turbidity,1.12,NTU,0.097,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4588,-45.3383,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,435.0,466.0,544.0,336.0,286.0,219.0,243.0,226.0,247.0,205.0,304.0,256.0,0.0,0.0,0.0,3.3458,0.7926,0.4129870129870129,-1.3177898823529413,Water_Surface,No_Snow,Water,POINT (-45.338265 -18.458818),0
2021-10-29,2021-10-28,10:08:23,13:12:51,Pontos_Randomicos,Turbidity,1.1,NTU,0.078,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4598,-45.3384,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,432.0,456.0,534.0,313.0,293.0,230.0,254.0,229.0,247.0,222.0,313.0,244.0,0.0,0.0,0.0,3.3458,0.7926,0.399737876802097,-1.303425423220974,Water_Surface,No_Snow,Water,POINT (-45.338437 -18.459848),0
2021-10-29,2021-10-28,08:41:06,13:12:51,Pontos_Randomicos,Turbidity,3.13,NTU,0.186,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4415,-45.3727,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,439.0,404.0,568.0,266.0,225.0,194.0,202.0,190.0,194.0,545.0,279.0,218.0,0.0,0.0,0.0,3.3458,0.7926,0.4986807387862796,-1.0861064225352113,Water_Surface,No_Snow,Water,POINT (-45.372692 -18.441509),0
2021-10-29,2021-10-28,08:38:53,13:12:51,Pontos_Randomicos,Turbidity,9.98,NTU,0.226,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4416,-45.3732,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,685.0,372.0,593.0,247.0,197.0,113.0,164.0,134.0,165.0,1415.0,219.0,170.0,0.0,0.0,0.0,3.3458,0.7926,0.6313617606602475,-0.9008326273187184,Water_Surface,No_Snow,Water,POINT (-45.373232 -18.441562),0
2021-10-29,2021-10-28,08:44:01,13:12:51,Pontos_Randomicos,Turbidity,3.54,NTU,0.204,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4418,-45.3741,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,355.0,426.0,725.0,316.0,262.0,155.0,153.0,129.0,143.0,189.0,203.0,163.0,0.0,0.0,0.0,3.3458,0.7926,0.6978922716627635,-0.7905937931034482,Water_Surface,No_Snow,Water,POINT (-45.374066 -18.441796),0
2021-10-29,2021-10-28,08:47:19,13:12:51,Pontos_Randomicos,Turbidity,1.42,NTU,0.278,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4467,-45.3728,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,328.0,315.0,450.0,161.0,140.0,94.0,98.0,78.0,69.0,64.0,59.0,47.0,0.0,0.0,0.0,3.3458,0.7926,0.7045454545454545,-0.7855404444444445,Water_Surface,No_Snow,Water,POINT (-45.372835 -18.44667),0
2021-10-29,2021-10-28,09:52:56,13:12:51,Pontos_Randomicos,Turbidity,1.49,NTU,0.19,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4604,-45.3558,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,392.0,398.0,518.0,256.0,216.0,168.0,180.0,165.0,159.0,149.0,125.0,87.0,0.0,0.0,0.0,3.3458,0.7926,0.5168374816983894,-0.9149894362934364,Water_Surface,No_Snow,Water,POINT (-45.35578 -18.460404),0
2021-10-29,2021-10-28,10:03:31,13:12:51,Pontos_Randomicos,Turbidity,1.19,NTU,0.066,m,Reservatorio de Tr̻s Marias,Reservoir,-18.4595,-45.3366,Brazil,Simoa_Limnologia,South,Spring,Tres_Marias,1,444.0,404.0,513.0,282.0,248.0,178.0,199.0,192.0,201.0,193.0,269.0,222.0,0.0,0.0,0.0,3.3458,0.7926,0.4553191489361703,-1.2116409044834309,Water_Surface,No_Snow,Water,POINT (-45.336637 -18.459472),0
