BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,Classe,Dominio
0.0723,0.0971,0.1307,0.1139,0.1467,0.1034,0.1087,0.12000000000000001,0.0903,0.1486,0.0789,0.048400000000000006,1,ANA
0.029400000000000003,0.0256,0.0364,0.0258,0.028900000000000002,0.0131,0.0146,0.0123,0.0122,0.0188,0.0123,0.0089,0,ANA
0.028900000000000002,0.0268,0.0323,0.028800000000000003,0.031100000000000003,0.0181,0.0187,0.015700000000000002,0.0135,0.0123,0.0102,0.0081,0,ANA
0.14830000000000002,0.0648,0.051500000000000004,0.037200000000000004,0.0402,0.0366,0.041,0.062200000000000005,0.037200000000000004,0.34240000000000004,0.039900000000000005,0.0246,0,ANA
0.1169,0.1076,0.1421,0.1105,0.1323,0.17930000000000001,0.18760000000000002,0.189,0.17020000000000002,0.3754,0.1516,0.0994,0,ANA
0.0528,0.0461,0.061200000000000004,0.0528,0.062400000000000004,0.0504,0.055400000000000005,0.051000000000000004,0.054700000000000006,0.069,0.052700000000000004,0.0398,0,ANA
0.0313,0.024300000000000002,0.024800000000000003,0.0164,0.0188,0.0091,0.0097,0.0082,0.0057,0.011300000000000001,0.0117,0.0092,0,ANA
0.0375,0.036000000000000004,0.060500000000000005,0.041800000000000004,0.0752,0.039400000000000004,0.0412,0.0323,0.0307,0.019,0.032,0.027800000000000002,0,ANA
0.021500000000000002,0.0261,0.0357,0.023200000000000002,0.032,0.0134,0.0135,0.0111,0.009300000000000001,0.0043,0.012100000000000001,0.010700000000000001,0,ANA
0.0262,0.0223,0.021500000000000002,0.0184,0.0189,0.016300000000000002,0.0187,0.018000000000000002,0.0181,0.031200000000000002,0.0258,0.018500000000000003,0,ANA
0.0095,0.0103,0.0103,0.009300000000000001,0.0085,0.0037,0.0058000000000000005,0.006200000000000001,0.005,0.04,0.02,0.014100000000000001,0,ANA
0.0089,0.0115,0.024200000000000003,0.0189,0.029300000000000003,0.0099,0.0122,0.010100000000000001,0.008700000000000001,0.005200000000000001,0.014100000000000001,0.0126,0,ANA
0.0543,0.0604,0.0669,0.065,0.0786,0.09720000000000001,0.1027,0.09860000000000001,0.1085,0.0655,0.08650000000000001,0.0623,0,ANA
0.0327,0.0398,0.037200000000000004,0.033600000000000005,0.0325,0.023200000000000002,0.0239,0.0233,0.0211,0.0086,0.033100000000000004,0.028300000000000002,0,ANA
0.26780000000000004,0.35600000000000004,0.3104,0.2772,0.29610000000000003,0.2994,0.31170000000000003,0.371,0.3346,0.4053,0.3558,0.3123,0,ANA
0.024800000000000003,0.0217,0.0229,0.0205,0.0218,0.0173,0.0167,0.0164,0.016,0.0125,0.0182,0.014100000000000001,0,ANA
0.0853,0.07390000000000001,0.0806,0.07590000000000001,0.0782,0.06520000000000001,0.066,0.0604,0.06280000000000001,0.0534,0.0639,0.0563,0,ANA
0.020900000000000002,0.024300000000000002,0.0316,0.0251,0.031400000000000004,0.0152,0.0155,0.0148,0.012100000000000001,0.008400000000000001,0.0134,0.0111,0,ANA
0.1595,0.11460000000000001,0.09720000000000001,0.0729,0.0731,0.0608,0.0596,0.0823,0.0476,0.1653,0.0606,0.0422,0,ANA
0.054900000000000004,0.062,0.0599,0.047400000000000005,0.051500000000000004,0.0437,0.0432,0.0551,0.0381,0.0917,0.0466,0.0315,0,ANA
0.056100000000000004,0.09820000000000001,0.0965,0.0661,0.0712,0.0506,0.045000000000000005,0.0736,0.0378,0.0703,0.0431,0.031200000000000002,0,ANA
0.0431,0.04,0.048600000000000004,0.0441,0.0528,0.043000000000000003,0.0432,0.0395,0.040600000000000004,0.0364,0.036500000000000005,0.032,0,ANA
0.0609,0.0627,0.07880000000000001,0.057300000000000004,0.0918,0.0557,0.056,0.0507,0.0429,0.0307,0.0477,0.044700000000000004,1,ANA
0.0485,0.0434,0.0472,0.049,0.0551,0.0504,0.052000000000000005,0.0449,0.0517,0.048,0.0461,0.0424,0,ANA
0.0175,0.0193,0.0167,0.0159,0.0162,0.0108,0.0129,0.0079,0.010400000000000001,0.0033,0.014700000000000001,0.013300000000000001,0,ANA
0.0373,0.0471,0.0648,0.050300000000000004,0.10300000000000001,0.08,0.0819,0.07150000000000001,0.057100000000000005,0.027,0.042,0.0357,1,ANA
0.0055000000000000005,0.0123,0.0142,0.0184,0.025500000000000002,0.035,0.0422,0.0437,0.0478,0.0313,0.0618,0.038900000000000004,0,ANA
0.013600000000000001,0.018600000000000002,0.0228,0.022000000000000002,0.0285,0.030000000000000002,0.031900000000000005,0.0267,0.031400000000000004,0.0983,0.0274,0.0224,0,ANA
0.0366,0.0357,0.0405,0.0264,0.024,0.011600000000000001,0.0119,0.0106,0.0103,0.015600000000000001,0.0092,0.0073,0,ANA
0.0946,0.1169,0.12300000000000001,0.09140000000000001,0.08310000000000001,0.0562,0.055600000000000004,0.0626,0.0471,0.053700000000000005,0.0485,0.0391,0,ANA
0.0781,0.0551,0.049300000000000004,0.0378,0.040600000000000004,0.0407,0.0441,0.038400000000000004,0.0417,0.0965,0.0439,0.035,0,ANA
0.027100000000000003,0.035300000000000005,0.0649,0.0362,0.0352,0.0159,0.015300000000000001,0.0118,0.0132,0.0108,0.0268,0.028,0,ANA
