geometry
POINT (-96.9172 36.70369)
POINT (-80.918540556 27.038198043)
POINT (-80.846000278 27.141300833)
POINT (-81.631201 28.427846)
POINT (-79.895267 34.639144)
POINT (-94.738568833 36.696873101)
POINT (-81.29152765 28.62755523)
POINT (-115.2083 49.0905)
POINT (-85.1108 33.0783)
POINT (-96.9021 36.78208)
POINT (-96.9172 36.70369)
POINT (-81.30859992 28.62734995)
POINT (-85.1107739 33.07845628)
POINT (-115.2083 49.0905)
POINT (-81.714861111 28.022694445)
POINT (-115.2083 49.0905)
POINT (-81.712694444 28.041805556)
POINT (-80.828039722 27.18975582)
POINT (-81.626474 28.425534)
POINT (-96.8187 36.75733)
POINT (-81.70875 28.026277779)
POINT (-80.7890025 26.901814987)
POINT (-81.349806 28.560388988)
POINT (-94.7478259294 36.749689171)
POINT (-116.8426 33.9908)
POINT (-81.390944 28.559888988)
POINT (-81.352 28.535888988)
POINT (-115.2278 49.1149)
POINT (-81.29104392 28.65112807)
POINT (-81.706111111 28.040305556)
POINT (-96.8317 36.77599)
POINT (-81.399611 28.556305988)
POINT (-80.972385 26.956730265)
POINT (-81.62322 28.424915)
POINT (-115.2278 49.1149)
POINT (-81.29001005 28.67187994)
POINT (-80.891692222 26.957112222)
POINT (-81.371194 28.560388988)
POINT (-82.78367 27.843900001)
POINT (-82.403267 29.612547001)
POINT (-76.96545 38.89768333)
POINT (-111.82993 40.26828)
POINT (-81.390195 28.476015)
POINT (-81.372611 28.544193988)
POINT (-81.846211 28.612669001)
POINT (-84.348889 30.412222001)
POINT (-122.637782 38.948472)
POINT (-81.401528 28.547943988)
POINT (-82.469333 28.240805601)
POINT (-122.6712 38.99986)
POINT (-81.370245 28.496628)
POINT (-87.960585 42.994954)
POINT (-87.90479 43.02777)
POINT (-87.90479 43.02777)
POINT (-111.77754 40.32087)
POINT (-115.2615 49.229)
POINT (-111.77729 40.16916)
POINT (-111.87161 40.16968)
POINT (-82.48614 28.16376)
POINT (-111.69993 40.18914)
POINT (-111.80282 40.29569)
POINT (-122.673839 39.0094)
POINT (-115.2581 49.1507)
POINT (-111.69993 40.18914)
POINT (-115.2581 49.1507)
POINT (-111.73131 40.18857)
POINT (-122.689819 38.980977)
POINT (-111.77754 40.32087)
POINT (-111.87438 40.06024)
POINT (-111.76465 40.23717)
POINT (-115.2581 49.1507)
POINT (-81.386118 28.481404)
POINT (-87.89384 43.0595)
POINT (-82.77287 27.876830001)
