BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,VALUE,Classe
0.0439,0.040400000000000005,0.0568,0.026600000000000002,0.022500000000000003,0.0194,0.020200000000000003,0.019,0.0194,0.0545,0.0279,0.0218,3.13,0
0.0439,0.0431,0.0538,0.0324,0.028300000000000002,0.020300000000000002,0.0233,0.0216,0.024300000000000002,0.0604,0.032100000000000004,0.0235,1.18,0
0.030600000000000002,0.031200000000000002,0.0431,0.0152,0.0123,0.0071,0.0073,0.006900000000000001,0.0056,0.0057,0.0079,0.006500000000000001,1.74,0
0.0337,0.033800000000000004,0.050300000000000004,0.0193,0.0158,0.0102,0.01,0.0082,0.0077,0.0055000000000000005,0.0043,0.0025,1.2,0
0.0444,0.040400000000000005,0.051300000000000005,0.028200000000000003,0.024800000000000003,0.0178,0.0199,0.019200000000000002,0.0201,0.0193,0.0269,0.0222,1.19,0
0.0332,0.0327,0.0494,0.0175,0.014400000000000001,0.009000000000000001,0.0095,0.0078000000000000005,0.0074,0.0055000000000000005,0.0044,0.0033,1.36,0
0.0427,0.043500000000000004,0.0523,0.0298,0.0274,0.0213,0.0218,0.0205,0.0195,0.0188,0.029300000000000003,0.0235,1.17,0
0.035500000000000004,0.0426,0.07250000000000001,0.0316,0.0262,0.0155,0.015300000000000001,0.0129,0.0143,0.0189,0.020300000000000002,0.016300000000000002,3.54,0
0.0328,0.0315,0.045000000000000005,0.0161,0.014,0.0094,0.0098,0.0078000000000000005,0.006900000000000001,0.0064,0.0059,0.0047,1.42,0
0.033600000000000005,0.034,0.047400000000000005,0.0175,0.014100000000000001,0.0097,0.01,0.0085,0.0079,0.0058000000000000005,0.0048000000000000004,0.0026000000000000003,1.31,0
0.0392,0.0398,0.051800000000000006,0.0256,0.0216,0.016800000000000002,0.018000000000000002,0.0165,0.0159,0.0149,0.0125,0.008700000000000001,1.49,0
0.0392,0.0405,0.0507,0.0256,0.0211,0.0158,0.017,0.0159,0.0167,0.015000000000000001,0.014700000000000001,0.0129,1.26,0
0.0685,0.037200000000000004,0.059300000000000005,0.0247,0.019700000000000002,0.011300000000000001,0.0164,0.0134,0.0165,0.14150000000000001,0.0219,0.017,9.98,0
0.0473,0.0524,0.0683,0.039900000000000005,0.0369,0.0264,0.026000000000000002,0.027200000000000002,0.024800000000000003,0.0207,0.0244,0.021500000000000002,3.25,0
0.0334,0.0337,0.0485,0.0184,0.0143,0.008,0.0083,0.0074,0.0073,0.0067,0.0057,0.0044,1.82,0
